"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BOR-SB";"Polyrhachis furcata";"SH1_2001__Floren 1 MK Poring 1";"Polyrhachis furcata";"Floren et al. 2001";"SH1_2001__Floren 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698330555556;6.04944722222222;"Polyrhachis furcata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"furcata";"Hymenoptera";5;5;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Polyrhachis furcata";"SH1_2001__Floren 1 MK Poring 3";"Polyrhachis furcata";"Floren et al. 2001";"SH1_2001__Floren 1 3";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698066666667;6.05066111111111;"Polyrhachis furcata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"furcata";"Hymenoptera";18;18;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Polyrhachis ypsilon";"SH1_2001__Floren 1 MK Poring 11";"Polyrhachis ypsilon";"Floren et al. 2001";"SH1_2001__Floren 1 11";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709427777778;6.06318611111111;"Polyrhachis ypsilon";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"ypsilon";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Polyrhachis ypsilon";"SH1_2001__Floren 1 MK Poring 12";"Polyrhachis ypsilon";"Floren et al. 2001";"SH1_2001__Floren 1 12";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709422222222;6.06375;"Polyrhachis ypsilon";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"ypsilon";"Hymenoptera";8;8;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Polyrhachis ypsilon";"SH1_2001__Floren 1 MK Poring 13";"Polyrhachis ypsilon";"Floren et al. 2001";"SH1_2001__Floren 1 13";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709244444444;6.06419722222222;"Polyrhachis ypsilon";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"ypsilon";"Hymenoptera";6;6;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Polyrhachis ypsilon";"SH1_2001__Floren 1 MK Poring 8";"Polyrhachis ypsilon";"Floren et al. 2001";"SH1_2001__Floren 1 8";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.6992;6.04933333333333;"Polyrhachis ypsilon";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyrhachis";"ypsilon";"Hymenoptera";4;4;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium bicarinatum";"SH1_2001__Floren 1 MK Sorinsim 29";"Tetramorium bicarinatum";"Floren et al. 2001";"SH1_2001__Floren 1 29";"Abundance";"Formicidae";"Young secondary vegetation";"Cannot decide";NA;116.734419444444;6.31638611111111;"Tetramorium bicarinatum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"bicarinatum";"Hymenoptera";28;28;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium bicarinatum";"SH1_2001__Floren 1 MK Sorinsim 33";"Tetramorium bicarinatum";"Floren et al. 2001";"SH1_2001__Floren 1 33";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Cannot decide";NA;116.73445;6.31727222222222;"Tetramorium bicarinatum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"bicarinatum";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium bicarinatum";"SH1_2001__Floren 1 MK Sorinsim 41";"Tetramorium bicarinatum";"Floren et al. 2001";"SH1_2001__Floren 1 41";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.701233333333;6.28313333333333;"Tetramorium bicarinatum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"bicarinatum";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium lanuginosum";"SH1_2001__Floren 1 MK Poring 18";"Tetramorium lanuginosum";"Floren et al. 2001";"SH1_2001__Floren 1 18";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696552777778;6.04725;"Tetramorium lanuginosum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"lanuginosum";"Hymenoptera";15;15;"exact";NA;"predicts";"invasive";"predicts_invasive"
